customer_id,customer_name,region,customer_type
C0001,Customer_1,South,Retail
C0002,Customer_2,East,Retail
C0003,Customer_3,South,Online
C0004,Customer_4,South,Online
C0005,Customer_5,North,Online
C0006,Customer_6,South,Retail
C0007,Customer_7,East,Wholesale
C0008,Customer_8,South,Retail
C0009,Customer_9,North,Online
C0010,Customer_10,East,Online
C0011,Customer_11,West,Online
C0012,Customer_12,North,Retail
C0013,Customer_13,East,Retail
C0014,Customer_14,West,Online
C0015,Customer_15,West,Wholesale
C0016,Customer_16,West,Retail
C0017,Customer_17,South,Wholesale
C0018,Customer_18,West,Wholesale
C0019,Customer_19,North,Retail
C0020,Customer_20,South,Retail
C0021,Customer_21,North,Retail
C0022,Customer_22,South,Online
C0023,Customer_23,West,Wholesale
C0024,Customer_24,South,Online
C0025,Customer_25,West,Online
C0026,Customer_26,West,Online
C0027,Customer_27,North,Online
C0028,Customer_28,South,Wholesale
C0029,Customer_29,West,Online
C0030,Customer_30,North,Online
C0031,Customer_31,North,Retail
C0032,Customer_32,West,Retail
C0033,Customer_33,East,Online
C0034,Customer_34,West,Online
C0035,Customer_35,North,Retail
C0036,Customer_36,South,Retail
C0037,Customer_37,East,Wholesale
C0038,Customer_38,West,Online
C0039,Customer_39,North,Retail
C0040,Customer_40,East,Retail
C0041,Customer_41,North,Wholesale
C0042,Customer_42,North,Online
C0043,Customer_43,West,Retail
C0044,Customer_44,East,Online
C0045,Customer_45,West,Retail
C0046,Customer_46,North,Online
C0047,Customer_47,West,Retail
C0048,Customer_48,South,Online
C0049,Customer_49,West,Retail
C0050,Customer_50,East,Online
C0051,Customer_51,East,Retail
C0052,Customer_52,North,Retail
C0053,Customer_53,West,Retail
C0054,Customer_54,North,Retail
C0055,Customer_55,North,Retail
C0056,Customer_56,North,Wholesale
C0057,Customer_57,East,Retail
C0058,Customer_58,North,Retail
C0059,Customer_59,East,Online
C0060,Customer_60,West,Retail
C0061,Customer_61,North,Online
C0062,Customer_62,West,Wholesale
C0063,Customer_63,West,Online
C0064,Customer_64,East,Online
C0065,Customer_65,North,Retail
C0066,Customer_66,South,Retail
C0067,Customer_67,West,Retail
C0068,Customer_68,East,Retail
C0069,Customer_69,South,Retail
C0070,Customer_70,North,Wholesale
C0071,Customer_71,East,Retail
C0072,Customer_72,East,Retail
C0073,Customer_73,North,Retail
C0074,Customer_74,South,Retail
C0075,Customer_75,West,Online
C0076,Customer_76,North,Retail
C0077,Customer_77,North,Wholesale
C0078,Customer_78,South,Wholesale
C0079,Customer_79,West,Retail
C0080,Customer_80,East,Wholesale
C0081,Customer_81,West,Retail
C0082,Customer_82,West,Online
C0083,Customer_83,East,Retail
C0084,Customer_84,East,Online
C0085,Customer_85,East,Retail
C0086,Customer_86,West,Online
C0087,Customer_87,South,Wholesale
C0088,Customer_88,North,Online
C0089,Customer_89,West,Wholesale
C0090,Customer_90,West,Retail
C0091,Customer_91,South,Retail
C0092,Customer_92,East,Retail
C0093,Customer_93,West,Wholesale
C0094,Customer_94,South,Retail
C0095,Customer_95,East,Online
C0096,Customer_96,East,Retail
C0097,Customer_97,West,Retail
C0098,Customer_98,West,Wholesale
C0099,Customer_99,South,Wholesale
C0100,Customer_100,East,Retail
C0101,Customer_101,West,Retail
C0102,Customer_102,West,Online
C0103,Customer_103,North,Wholesale
C0104,Customer_104,South,Online
C0105,Customer_105,East,Wholesale
C0106,Customer_106,West,Retail
C0107,Customer_107,East,Retail
C0108,Customer_108,North,Online
C0109,Customer_109,East,Online
C0110,Customer_110,East,Retail
C0111,Customer_111,West,Retail
C0112,Customer_112,North,Online
C0113,Customer_113,South,Retail
C0114,Customer_114,West,Retail
C0115,Customer_115,West,Wholesale
C0116,Customer_116,South,Retail
C0117,Customer_117,North,Online
C0118,Customer_118,South,Retail
C0119,Customer_119,South,Online
C0120,Customer_120,North,Online
C0121,Customer_121,North,Online
C0122,Customer_122,East,Retail
C0123,Customer_123,West,Retail
C0124,Customer_124,East,Wholesale
C0125,Customer_125,North,Retail
C0126,Customer_126,North,Retail
C0127,Customer_127,North,Retail
C0128,Customer_128,West,Retail
C0129,Customer_129,South,Retail
C0130,Customer_130,North,Online
C0131,Customer_131,West,Wholesale
C0132,Customer_132,North,Online
C0133,Customer_133,North,Retail
C0134,Customer_134,East,Online
C0135,Customer_135,West,Wholesale
C0136,Customer_136,South,Online
C0137,Customer_137,West,Online
C0138,Customer_138,East,Retail
C0139,Customer_139,South,Wholesale
C0140,Customer_140,South,Online
C0141,Customer_141,North,Online
C0142,Customer_142,South,Online
C0143,Customer_143,North,Wholesale
C0144,Customer_144,North,Retail
C0145,Customer_145,West,Retail
C0146,Customer_146,West,Wholesale
C0147,Customer_147,North,Online
C0148,Customer_148,North,Online
C0149,Customer_149,North,Online
C0150,Customer_150,North,Retail
C0151,Customer_151,West,Wholesale
C0152,Customer_152,East,Online
C0153,Customer_153,North,Online
C0154,Customer_154,West,Retail
C0155,Customer_155,East,Retail
C0156,Customer_156,West,Retail
C0157,Customer_157,East,Online
C0158,Customer_158,East,Retail
C0159,Customer_159,West,Retail
C0160,Customer_160,West,Wholesale
C0161,Customer_161,North,Online
C0162,Customer_162,West,Online
C0163,Customer_163,West,Retail
C0164,Customer_164,North,Retail
C0165,Customer_165,East,Retail
C0166,Customer_166,South,Wholesale
C0167,Customer_167,South,Retail
C0168,Customer_168,South,Retail
C0169,Customer_169,South,Online
C0170,Customer_170,North,Wholesale
C0171,Customer_171,East,Retail
C0172,Customer_172,South,Online
C0173,Customer_173,South,Online
C0174,Customer_174,West,Retail
C0175,Customer_175,West,Wholesale
C0176,Customer_176,South,Online
C0177,Customer_177,South,Online
C0178,Customer_178,South,Online
C0179,Customer_179,East,Retail
C0180,Customer_180,South,Online
C0181,Customer_181,West,Wholesale
C0182,Customer_182,South,Retail
C0183,Customer_183,West,Retail
C0184,Customer_184,West,Online
C0185,Customer_185,North,Retail
C0186,Customer_186,East,Online
C0187,Customer_187,West,Online
C0188,Customer_188,South,Retail
C0189,Customer_189,South,Wholesale
C0190,Customer_190,East,Retail
C0191,Customer_191,East,Online
C0192,Customer_192,West,Online
C0193,Customer_193,West,Online
C0194,Customer_194,North,Online
