month,revenue,mom_growth_pct,yoy_growth_pct
2024-01,112851.3,,
2024-02,81728.12,-27.58,
2024-03,138044.83,68.91,
2024-04,127655.46,-7.53,
2024-05,153941.81,20.59,
2024-06,115285.18,-25.11,
2024-07,122499.4,6.26,
2024-08,136786.36000000002,11.66,
2024-09,144655.24,5.75,
2024-10,195144.77,34.9,
2024-11,178451.26,-8.55,
2024-12,225880.29,26.58,
2025-01,124473.02,-44.89,10.3
2025-02,92175.37,-25.95,12.78
2025-03,148915.84,61.56,7.87
2025-04,129655.1,-12.93,1.57
2025-05,151698.25,17.0,-1.46
2025-06,122382.35,-19.33,6.16
2025-07,144817.1,18.33,18.22
2025-08,147813.76,2.07,8.06
2025-09,128636.61,-12.97,-11.07
2025-10,197762.42,53.74,1.34
2025-11,243104.99,22.93,36.23
2025-12,230724.14,-5.09,2.14
2026-01,141016.26,-38.88,13.29
2026-02,125697.3,-10.86,36.37
2026-03,192813.76,53.4,29.48
2026-04,143092.91,-25.79,10.36
2026-05,159259.45,11.3,4.98
2026-06,129947.97,-18.4,6.18
2026-07,154180.6,18.65,6.47
