order_id,order_date,customer_id,region,customer_type,product_id,product_name,category,quantity,unit_price,discount_pct,revenue,cost,profit
O000001,2024-01-01,C0219,North,Retail,P0013,Backpack,Apparel,2,282.71,0.15,480.61,401.48,79.13
O000002,2024-01-01,C0310,South,Wholesale,P0008,Cookware Set,Home & Kitchen,4,144.8,0.0,579.2,276.36,302.84
O000003,2024-01-01,C0167,South,Retail,P0010,Coffee Maker,Home & Kitchen,2,276.64,0.05,525.62,410.84,114.78
O000004,2024-01-01,C0177,South,Online,P0001,Wireless Earbuds,Electronics,5,46.85,0.05,222.54,120.9,101.64
O000005,2024-01-01,C0229,North,Wholesale,P0007,Blender,Home & Kitchen,6,121.55,0.0,729.3,532.56,196.74
O000006,2024-01-01,C0352,West,Retail,P0016,Ergonomic Chair,Office Supplies,3,85.32,0.15,217.57,154.29,63.28
O000007,2024-01-02,C0211,South,Wholesale,P0014,Sunglasses,Apparel,4,226.65,0.15,770.61,475.84,294.77
O000008,2024-01-02,C0072,East,Retail,P0005,Laptop Stand,Electronics,2,108.18,0.15,183.91,129.82,54.09
O000009,2024-01-02,C0273,South,Wholesale,P0018,Notebook Set,Office Supplies,7,171.61,0.05,1141.21,598.99,542.22
O000010,2024-01-02,C0055,North,Retail,P0019,Desk Organizer,Office Supplies,1,260.68,0.0,260.68,170.95,89.73
O000011,2024-01-02,C0313,North,Retail,P0014,Sunglasses,Apparel,1,226.65,0.05,215.32,118.96,96.36
O000012,2024-01-02,C0240,South,Retail,P0005,Laptop Stand,Electronics,3,108.18,0.15,275.86,194.73,81.13
O000013,2024-01-03,C0378,East,Online,P0016,Ergonomic Chair,Office Supplies,5,85.32,0.0,426.6,257.15,169.45
O000014,2024-01-03,C0066,South,Retail,P0017,Standing Desk,Office Supplies,1,143.29,0.0,143.29,86.95,56.34
O000015,2024-01-03,C0373,West,Wholesale,P0009,Vacuum Cleaner,Home & Kitchen,1,86.66,0.05,82.33,53.24,29.09
O000016,2024-01-03,C0246,East,Retail,P0008,Cookware Set,Home & Kitchen,7,144.8,0.15,861.56,483.63,377.93
O000017,2024-01-03,C0229,North,Wholesale,P0014,Sunglasses,Apparel,1,226.65,0.1,203.98,118.96,85.02
O000018,2024-01-03,C0047,West,Retail,P0002,Smart Watch,Electronics,3,189.4,0.0,568.2,302.82,265.38
O000019,2024-01-03,C0280,North,Retail,P0001,Wireless Earbuds,Electronics,7,46.85,0.0,327.95,169.26,158.69
O000020,2024-01-04,C0304,South,Online,P0018,Notebook Set,Office Supplies,3,171.61,0.1,463.35,256.71,206.64
O000021,2024-01-04,C0046,North,Online,P0020,Monitor Arm,Office Supplies,3,193.94,0.1,523.64,388.2,135.44
O000022,2024-01-04,C0107,East,Retail,P0008,Cookware Set,Home & Kitchen,2,144.8,0.2,231.68,138.18,93.5
O000023,2024-01-04,C0165,East,Retail,P0006,Air Fryer,Home & Kitchen,6,298.69,0.1,1612.93,912.0,700.93
O000024,2024-01-04,C0304,South,Online,P0003,Bluetooth Speaker,Electronics,4,365.93,0.0,1463.72,861.32,602.4
O000025,2024-01-04,C0144,North,Retail,P0015,Wallet,Apparel,3,245.76,0.0,737.28,449.49,287.79
O000026,2024-01-05,C0395,West,Wholesale,P0005,Laptop Stand,Electronics,7,108.18,0.0,757.26,454.37,302.89
O000027,2024-01-05,C0092,East,Retail,P0014,Sunglasses,Apparel,6,226.65,0.0,1359.9,713.76,646.14
O000028,2024-01-06,C0036,South,Retail,P0015,Wallet,Apparel,6,245.76,0.0,1474.56,898.98,575.58
O000029,2024-01-06,C0244,East,Online,P0009,Vacuum Cleaner,Home & Kitchen,7,86.66,0.0,606.62,372.68,233.94
O000030,2024-01-06,C0303,West,Retail,P0009,Vacuum Cleaner,Home & Kitchen,3,86.66,0.0,259.98,159.72,100.26
O000031,2024-01-07,C0091,South,Retail,P0018,Notebook Set,Office Supplies,4,171.61,0.0,686.44,342.28,344.16
O000032,2024-01-07,C0254,West,Retail,P0014,Sunglasses,Apparel,6,226.65,0.15,1155.92,713.76,442.16
O000033,2024-01-08,C0302,North,Online,P0012,Denim Jacket,Apparel,1,97.06,0.05,92.21,56.82,35.39
O000034,2024-01-08,C0146,West,Wholesale,P0013,Backpack,Apparel,2,282.71,0.0,565.42,401.48,163.94
O000035,2024-01-08,C0173,South,Online,P0019,Desk Organizer,Office Supplies,1,260.68,0.0,260.68,170.95,89.73
O000036,2024-01-08,C0152,East,Online,P0004,Power Bank,Electronics,2,156.84,0.1,282.31,228.48,53.83
O000037,2024-01-09,C0151,West,Wholesale,P0009,Vacuum Cleaner,Home & Kitchen,3,86.66,0.05,246.98,159.72,87.26
O000038,2024-01-09,C0054,North,Retail,P0003,Bluetooth Speaker,Electronics,7,365.93,0.15,2177.28,1507.31,669.97
O000039,2024-01-09,C0112,North,Online,P0009,Vacuum Cleaner,Home & Kitchen,7,86.66,0.0,606.62,372.68,233.94
O000040,2024-01-09,C0209,South,Online,P0013,Backpack,Apparel,1,282.71,0.0,282.71,200.74,81.97
O000041,2024-01-09,C0236,North,Retail,P0010,Coffee Maker,Home & Kitchen,3,276.64,0.05,788.42,616.26,172.16
O000042,2024-01-09,C0156,West,Retail,P0004,Power Bank,Electronics,4,156.84,0.2,501.89,456.96,44.93
O000043,2024-01-09,C0032,West,Retail,P0013,Backpack,Apparel,5,282.71,0.0,1413.55,1003.7,409.85
O000044,2024-01-10,C0398,West,Retail,P0016,Ergonomic Chair,Office Supplies,3,85.32,0.15,217.57,154.29,63.28
O000045,2024-01-10,C0237,South,Online,P0017,Standing Desk,Office Supplies,1,143.29,0.0,143.29,86.95,56.34
O000046,2024-01-10,C0151,West,Wholesale,P0002,Smart Watch,Electronics,7,189.4,0.05,1259.51,706.58,552.93
O000047,2024-01-10,C0357,North,Retail,P0014,Sunglasses,Apparel,6,226.65,0.15,1155.92,713.76,442.16
O000048,2024-01-10,C0381,North,Retail,P0018,Notebook Set,Office Supplies,1,171.61,0.05,163.03,85.57,77.46
O000049,2024-01-10,C0052,North,Retail,P0001,Wireless Earbuds,Electronics,3,46.85,0.0,140.55,72.54,68.01
O000050,2024-01-11,C0192,West,Online,P0015,Wallet,Apparel,7,245.76,0.05,1634.3,1048.81,585.49
O000051,2024-01-11,C0380,West,Wholesale,P0006,Air Fryer,Home & Kitchen,7,298.69,0.1,1881.75,1064.0,817.75
O000052,2024-01-11,C0231,West,Wholesale,P0007,Blender,Home & Kitchen,3,121.55,0.0,364.65,266.28,98.37
O000053,2024-01-12,C0182,South,Retail,P0008,Cookware Set,Home & Kitchen,7,144.8,0.0,1013.6,483.63,529.97
O000054,2024-01-12,C0087,South,Wholesale,P0015,Wallet,Apparel,5,245.76,0.15,1044.48,749.15,295.33
O000055,2024-01-12,C0259,North,Retail,P0009,Vacuum Cleaner,Home & Kitchen,2,86.66,0.0,173.32,106.48,66.84
O000056,2024-01-12,C0029,West,Online,P0001,Wireless Earbuds,Electronics,4,46.85,0.05,178.03,96.72,81.31
O000057,2024-01-12,C0006,South,Retail,P0017,Standing Desk,Office Supplies,7,143.29,0.05,952.88,608.65,344.23
O000058,2024-01-12,C0238,West,Wholesale,P0015,Wallet,Apparel,5,245.76,0.05,1167.36,749.15,418.21
O000059,2024-01-13,C0324,North,Retail,P0005,Laptop Stand,Electronics,2,108.18,0.05,205.54,129.82,75.72
O000060,2024-01-13,C0126,North,Retail,P0007,Blender,Home & Kitchen,5,121.55,0.05,577.36,443.8,133.56
O000061,2024-01-13,C0284,North,Wholesale,P0008,Cookware Set,Home & Kitchen,7,144.8,0.0,1013.6,483.63,529.97
O000062,2024-01-14,C0212,West,Online,P0005,Laptop Stand,Electronics,2,108.18,0.05,205.54,129.82,75.72
